	Method	BFGS_LS(suc)	BFGS_LS(time)	BFGS_LS(nit)	DFP_LS(suc)	DFP_LS(time)	DFP_LS(nit)	PSB_LS(suc)	PSB_LS(time)	PSB_LS(nit)	SR1_LS(suc)	SR1_LS(time)	SR1_LS(nit)	BFGS_TR(suc)	BFGS_TR(time)	BFGS_TR(nit)	DFP_TR(suc)	DFP_TR(time)	DFP_TR(nit)	PSB_TR(suc)	PSB_TR(time)	PSB_TR(nit)	SR1_TR(suc)	SR1_TR(time)	SR1_TR(nit)
114	Cube	0.94	0.03479504577600892	221.31	0.08	0.05337270986027761	370.02	0.0	0.002247361392091989	7.73	0.0	0.002088572382781422	8.18	0.99	0.028053239561759254	78.6	0.47	0.06921926028748203	272.29	1.0	0.028661685587330794	82.6	0.0	0.08155200733480343	392.72
115	EggHolder	0.0	0.061664881295228034	260.12	0.0	0.02007971950645697	49.01	0.0	0.004692593253075757	5.83	0.0	0.00637504602408626	6.35	0.0	0.03712178884379682	157.55	0.0	0.04197691290250077	191.25	0.0	0.03903079348741812	159.84	0.0	0.02603930639497776	54.78
116	Gear	0.0	0.20246913231801955	800.0	0.0	0.01757745839227937	2.0	0.0	0.017953113367038896	2.0	0.0	0.019453937203707028	2.0	0.0	0.1322871741056042	800.0	0.0	0.13645888364464553	800.0	0.0	0.13440459039307825	800.0	0.0	0.13483398611637312	800.0
117	StretchedV	0.0	0.006429496644941537	4.84	0.0	0.006201328316310537	4.9	0.0	0.004974143117970016	4.68	0.0	0.0045941519357438655	4.4	0.0	0.01836871789801989	47.07	0.0	0.01927306518124169	46.67	0.0	0.01868733506697936	47.08	0.0	0.01975754870004493	54.86
118	Zimmerman	0.0	0.024874153766058952	7.6	0.0	0.01666470382720945	9.69	0.0	0.020771156437504032	5.38	0.0	0.00795280547065886	3.13	0.0	0.024809196180913203	46.5	0.0	0.02780117077601062	45.47	0.01	0.05259888498745568	66.5	0.0	0.035031377635377794	60.15
119	Cigar	1.0	0.0016522233326850256	4.83	1.0	0.0012465356311531653	4.72	1.0	0.0020740456601288314	4.69	0.99	0.0010256670126545942	4.51	1.0	0.018290901362352088	8.84	1.0	0.017903302573631662	9.28	0.93	0.016371556531712485	12.58	1.0	0.01607104538101339	10.05
120	Tripod	0.17	0.013337579737699343	8.91	0.1	0.011033415738338593	2.79	0.0	0.0018185985668060312	1.06	0.07	0.007274813348494717	2.76	0.0	0.014571572867344004	1.0	0.0	0.013119058829106509	1.28	0.37	0.03076153467537552	83.29	0.0	0.013182951605940615	1.62
121	Mishra05	0.0	0.03120282289672105	118.31	0.0	0.03546368554539185	132.95	0.0	0.007146326475385648	8.62	0.0	0.004459109435420033	7.94	0.0	0.030197926061246112	85.49	0.0	0.050306361182174436	145.73	0.0	0.027394349844671533	61.25	0.0	0.0363201121768816	89.48
122	Schaffer04	0.0	0.0698407919094916	326.21	0.0	0.0453763456033721	220.07	0.0	0.0022197276912993397	4.89	0.0	0.002553726850601379	5.97	0.0	0.09288486086292323	319.45	0.0	0.0596943358610406	180.46	0.0	0.10571282931549833	362.84	0.0	0.030698937629258582	81.84
123	Ursem03	0.04	0.03681620595529239	126.68	0.03	0.012739713374157871	11.3	0.0	0.01028016005489917	9.5	0.04	0.008300245162481587	7.95	0.05	0.02645065169273039	52.59	0.06	0.025204441063351624	57.81	0.08	0.025420481695327908	59.62	0.05	0.029938912501438607	71.74
124	OddSquare	0.0	0.022004538050687188	9.52	0.0	0.032712665531771566	54.14	0.0	0.01385907069177847	5.22	0.0	0.017560464222224254	5.26	0.0	0.06848139514695503	165.32	0.0	0.05257043022958897	106.37	0.0	0.038928554781423375	71.79	0.0	0.030170262426127005	41.71
125	Schaffer01	0.0	0.03399882999365218	158.95	0.0	0.009184865695215195	5.14	0.0	0.008598327352856358	5.07	0.0	0.007200747161932669	5.14	0.0	0.02359300544926555	80.1	0.0	0.02666066268709983	94.93	0.0	0.028083456171125364	114.26	0.0	0.022544241931309442	70.69
126	Schaffer02	0.0	0.07641733046124499	333.66	0.0	0.04612085617432058	246.1	0.0	0.0021122718519654892	4.46	0.0	0.002012021643413391	4.75	0.0	0.09551870919577596	343.79	0.0	0.06892574950315973	220.9	0.0	0.09222679647919904	338.78	0.0	0.036703828050085575	112.9
127	Decanomial	0.02	0.023153231051874168	53.47	0.03	0.029609899553088324	99.66	0.0	0.05803921317077765	68.83	0.01	0.01253782742321164	27.17	0.0	0.03004752295218168	74.95	0.0	0.03617862095777128	73.79	0.0	0.03192965935970278	71.44	0.0	0.0975977239614258	342.34
128	Price04	0.14	0.015762678595929173	68.31	0.0	0.05674704472921802	374.94	0.08	0.00745843078037069	22.64	0.02	0.005257305162567718	14.91	0.28	0.031194312982715924	99.32	0.19	0.07080670136486332	284.2	0.24	0.04687377402714446	171.01	0.0	0.08814694697208324	400.0
129	Giunta	0.57	0.029387807901739508	97.09	0.49	0.010696196496119229	21.86	0.48	0.003766180062102649	5.01	0.33	0.0042574159197556576	4.58	0.5	0.026444536528251773	53.05	0.47	0.030481887781143087	80.05	0.55	0.025294286939770247	47.28	0.48	0.024630552130893192	42.22
130	Matyas	1.0	0.001301944151900898	7.57	1.0	0.0026890558656305075	18.45	0.51	0.001349522696400527	5.51	1.0	0.0004608695763363356	3.11	1.0	0.011449717312616485	4.58	1.0	0.011670568825757071	4.73	1.0	0.011585213104990544	4.54	0.85	0.012912028442797235	10.98
131	Corana	0.0	0.4253939256318791	776.07	0.0	0.050322299096551434	4.44	0.0	0.05205285640186957	4.71	0.0	0.049620077239223966	4.06	0.0	0.23249013769381235	800.0	0.0	0.22009361333087327	800.0	0.0	0.21562167487940315	800.0	0.0	0.17806676989748665	576.82
132	Branin01	0.0	0.06442240134379973	309.89	0.0	0.013435559210320207	11.56	0.0	0.009984190375789695	10.21	0.0	0.009896221812005024	8.71	0.0	0.03713908235755298	176.62	0.0	0.04211209224585218	199.78	0.0	0.034569182393943264	158.15	0.0	0.029804464412072774	98.01
133	Branin02	0.0	0.0213203024739596	80.58	0.0	0.01175288406974687	17.55	0.0	0.008611883346593458	8.27	0.0	0.006812113499154293	7.98	0.0	0.024231009528075446	62.7	0.0	0.024422529634002783	62.5	0.0	0.02851596934545341	65.95	0.0	0.02427023210686457	50.69
134	McCormick	0.54	0.020853865104636497	108.88	0.46	0.005516139116125487	9.84	0.42	0.004339380503897701	7.04	0.38	0.004434302394502083	6.41	0.57	0.023884895501223583	93.38	0.49	0.025192629815664988	106.53	0.6	0.023595173553057968	88.3	0.6	0.019239867963724462	56.98
135	Sargan	1.0	0.0032853741945473303	5.62	1.0	0.00322887093110694	5.61	1.0	0.0033055071972557925	5.49	1.0	0.002123608425945349	3.22	1.0	0.03241389057446213	11.83	1.0	0.03251051444778568	11.45	1.0	0.03208306018217627	11.32	1.0	0.032109047492640465	11.65
136	Dolan	0.0	0.016950157989313083	5.33	0.0	0.016178804840283192	5.91	0.0	0.007924141172197778	4.1	0.0	0.01179408231702837	4.0	0.0	0.0663845052853867	76.49	0.0	0.06990395770872965	91.71	0.0	0.06611947491690444	76.21	0.0	0.08988643754898476	144.05
137	Rosenbrock	1.0	0.0140291278535733	50.95	0.31	0.07492833497756693	317.57	0.0	0.0038596950372084392	8.22	0.0	0.003049966024454989	6.93	1.0	0.029671897911739506	47.56	0.62	0.07719492706492019	198.59	1.0	0.033631881644596434	53.86	0.0	0.12178732570178907	390.84
138	Whitley	0.0	0.02632420890939102	66.43	0.0	0.023339871855305318	23.81	0.0	0.013004726637236673	14.32	0.0	0.008284747711013552	9.01	0.0	0.027341096598638613	48.42	0.0	0.030526374532910263	34.28	0.0	0.025167420798952664	28.84	0.0	0.040836511722109205	84.43
139	Wavy	0.01	0.05980026077114418	224.19	0.0	0.013323626044475529	15.56	0.01	0.008216779583390234	8.17	0.01	0.009032871788122064	7.27	0.01	0.032627010467222134	116.95	0.04	0.03060464008408417	99.69	0.01	0.03014427511568101	98.29	0.02	0.02620038752183064	51.52
140	Csendes	0.0	0.02304796469791654	67.6	0.0	0.0607520326507165	259.58	0.0	0.004065386929587475	10.84	0.0	0.00791586645679672	15.72	0.0	0.02440151570547641	39.51	0.0	0.08232579372050168	212.72	0.0	0.06983465108712153	172.7	0.0	0.024309942188192508	41.99
141	Schwefel26	0.06	0.09866461915567017	368.64	0.05	0.02231712558198524	32.79	0.03	0.006997475677308102	5.45	0.03	0.01023434763818841	7.25	0.02	0.05978386956484427	291.74	0.02	0.053644753424132434	258.69	0.08	0.056869578938913035	291.24	0.0	0.020860467771599358	22.45
142	MultiModal	0.11	0.011552691548986329	3.43	0.16	0.01577326253433057	19.63	0.0	0.014800356988735075	2.58	0.09	0.00890154114966208	3.09	0.0	0.024709719989559745	65.92	0.0	0.03446100812971963	64.41	0.0	0.030706429774554636	65.48	0.0	0.025195948254586254	65.06
143	RosenbrockModified	0.0	0.015947215440683067	54.55	0.0	0.039898214585809916	201.7	0.0	0.003590837345627733	11.01	0.0	0.002787172181187998	6.02	0.0	0.02829195761807568	90.77	0.0	0.05554577414346568	191.89	0.0	0.028283319413885687	81.3	0.0	0.08935452088115198	353.97
144	Schwefel36	0.0	0.06203808165150804	360.2	0.0	0.00699027859918715	8.07	0.0	0.006423620955556544	4.07	0.01	0.005872648922431836	3.64	0.06	0.0862983541655376	377.6	0.07	0.08846179241022582	374.2	0.05	0.08979470580710767	381.32	0.05	0.08326593823514486	388.28
145	HimmelBlau	0.0	0.005840687566806082	11.29	0.0	0.005606664930455736	12.07	0.0	0.005540629707948028	11.25	0.0	0.00486747412497607	10.15	0.0	0.019440791738479686	46.91	0.0	0.018509888391863568	48.82	0.0	0.01784717990424724	44.85	0.0	0.025451788771088103	87.23
146	Schwefel06	0.34	0.009463165542674687	3.26	0.34	0.009688986161372669	3.27	0.15	0.006651832047673453	2.47	0.28	0.00834563422166866	2.81	0.0	0.012689958173114064	1.0	0.0	0.012835276715522924	1.17	0.01	0.022420052778506942	57.44	0.0	0.012913738978259063	1.0
147	Infinity	0.0	0.020138155674994777	55.68	0.0	0.06171271214383521	275.47	0.0	0.005510032504462289	10.29	0.0	0.007005882959128939	15.29	0.0	0.02498575765395799	39.69	0.0	0.08127466966352585	208.3	0.0	0.0733150733670027	166.93	0.0	0.02241072608379	40.84
148	Mishra11	0.01	0.011417482271335756	7.49	0.03	0.011226573681951776	11.54	0.02	0.00746621799325112	7.12	0.02	0.007882810358451025	6.21	0.05	0.022337489506935527	48.17	0.0	0.021898613140538144	48.75	0.03	0.023243637128725826	47.1	0.02	0.0252650709936006	58.17
149	Hansen	0.02	0.0719850037354081	185.37	0.0	0.022214147069316827	10.39	0.01	0.02769577613193178	10.96	0.02	0.01867437348423664	8.38	0.01	0.036655017920038516	73.33	0.0	0.03490543946011712	43.05	0.02	0.03594556905025456	43.93	0.0	0.033172076876599024	37.08
150	StyblinskiTang	0.25	0.05438234060274226	211.81	0.3	0.011830632184019124	10.01	0.23	0.012826227982714043	10.07	0.2	0.010610922025707624	8.58	0.21	0.03697092389016689	143.71	0.23	0.0348542516856196	131.72	0.31	0.03890513327415647	145.36	0.24	0.035015854525818214	124.13
151	Easom	0.0	0.08926791646950732	270.81	0.0	0.01917251990528712	10.3	0.0	0.015982341286944576	8.78	0.0	0.015318884440093826	7.34	0.0	0.04604167976292956	174.64	0.0	0.04651634480798749	172.5	0.0	0.04408073043283366	164.6	0.0	0.03560445833969425	88.77
152	Ripple25	0.06	0.02620423195034164	67.46	0.04	0.016646602085393168	21.05	0.0	0.010406243625566277	7.26	0.01	0.008514391376511412	6.22	0.06	0.026525021499264768	41.44	0.06	0.02321735047461516	23.92	0.02	0.024654837458510884	35.44	0.02	0.040578913630361056	87.99
153	Schwefel01	1.0	0.008459376278924537	40.98	0.7	0.02847210693921625	155.01	0.75	0.0071932849508812065	33.09	0.83	0.006235013036421151	31.85	1.0	0.023631975724074442	42.77	1.0	0.023940321127356584	42.84	1.0	0.024205620905122488	42.4	0.0	0.07527898619990993	284.69
154	Langermann	0.01	0.03388711492103539	55.55	0.08	0.0340389206691907	59.49	0.03	0.011246155036951677	7.17	0.03	0.01394608563201473	7.17	0.03	0.03904488402352399	42.4	0.02	0.04332158623084978	48.66	0.02	0.03585934523272044	39.23	0.04	0.06776593374497679	88.45
155	Alpine01	0.0	0.016228953464460575	4.98	0.0	0.01608463130904056	4.68	0.0	0.010114007190168195	4.0	0.0	0.008174901398297152	3.01	0.0	0.03617819760018392	71.43	0.01	0.02853614083525827	62.05	0.01	0.03446021273071892	93.96	0.0	0.02696493701590043	69.69
156	DropWave	0.02	0.006632554312727734	4.74	0.0	0.006390586239012919	5.21	0.0	0.005733920218053754	5.13	0.03	0.00466017005300273	4.58	0.0	0.019196642732022155	21.22	0.0	0.018826166403487152	21.18	0.0	0.01855083861141793	20.96	0.0	0.020215741288338904	28.71
157	Bukin06	0.0	0.0038318902827995773	0.0	0.0	0.003753064531210839	0.04	0.0	0.004196456711242718	0.06	0.0	0.0038861741264736337	0.03	0.0	0.02124402969658149	60.64	0.0	0.021763647614270663	60.06	0.0	0.02121244038247824	60.4	0.0	0.02161954355220587	60.54
158	Alpine02	0.22	0.0217273757093244	92.94	0.2	0.007482031893850946	10.08	0.14	0.005622183763662179	6.02	0.12	0.005756383825319063	5.21	0.14	0.028685603149788217	120.62	0.22	0.032605705747701	149.35	0.22	0.02710683448725831	108.55	0.18	0.02451088734459517	84.49
159	ElAttarVidyasagarDutta	0.39	0.026785151183539708	137.78	0.13	0.052467639875831085	316.71	0.01	0.015305927133767909	50.42	0.06	0.008018849245827369	28.6	0.48	0.02453065258211609	70.8	0.39	0.026718637011072133	73.89	0.39	0.025222363198790846	67.82	0.01	0.08845399236845879	393.6
160	Bukin02	0.0	0.034420776335127815	193.09	0.0	0.006649189270301576	4.08	0.0	0.006786275860631578	2.97	0.0	0.007658208496377483	2.79	0.0	0.0754659733866265	312.92	0.0	0.07674963619046139	298.5	0.0	0.11462806757814176	400.0	0.0	0.04076640970144582	138.07
161	BoxBetts	1.0	0.01453995789524015	16.93	0.04	0.3948505868633401	580.16	0.0	0.008292103013591259	6.4	0.5	0.01211757878831122	7.19	1.0	0.08638743885367148	14.4	1.0	0.08226941447088393	10.55	1.0	0.0965734766933474	10.02	0.13	0.4919989745339262	539.3
162	Zacharov	1.0	0.0030125608897014896	10.41	1.0	0.002893828345231668	10.68	1.0	0.002643679635530134	8.89	0.78	0.002520439830022951	8.31	1.0	0.02050578823827891	10.46	1.0	0.02136079512537435	11.41	1.0	0.021693237697290896	12.07	1.0	0.032840224439351	51.85
163	Sphere	1.0	0.000623190841433825	2.63	1.0	0.0005342515487700439	2.62	1.0	0.0005870942663113965	2.67	1.0	0.0007935259653186221	2.6	1.0	0.012768198066351034	2.72	1.0	0.012788647518054858	2.74	1.0	0.013456235308067334	2.66	1.0	0.013470877491927241	2.69
164	Levy03	0.13	0.04377311628342796	154.57	0.14	0.018508049566071348	27.08	0.01	0.009319005888091852	8.29	0.06	0.012895975067203837	7.88	0.12	0.030543869034509043	71.89	0.1	0.03493823897802032	104.73	0.06	0.04409269990494067	88.43	0.05	0.04185723528713425	75.74
165	Levy05	0.01	0.05085796611349906	111.59	0.0	0.024899525283581168	19.24	0.01	0.019668263023922918	11.07	0.0	0.01699175393605401	8.66	0.0	0.03370616592459555	67.73	0.0	0.030462545901118576	46.89	0.0	0.03804897177571547	99.5	0.0	0.029135418390633275	34.33
166	Zettl	1.0	0.0034738281655609174	20.6	0.78	0.01986319564800397	137.71	0.07	0.002338186550132377	8.88	0.03	0.002305797560720748	9.75	1.0	0.016647803736641438	28.06	0.92	0.026020362214403576	67.99	1.0	0.016777723183158743	27.71	0.31	0.02497015757022382	78.39
167	Michalewicz	0.0	0.042181894922741776	128.92	0.0	0.01792922573895339	28.78	0.0	0.009135320034747565	4.28	0.0	0.011159400953411024	4.5	0.0	0.0295953044090038	84.84	0.0	0.029800833800518376	75.07	0.0	0.033039728469530016	106.6	0.0	0.0371609216194247	77.52
