	Method	BFGS_LS(suc)	BFGS_LS(time)	BFGS_LS(nit)	DFP_LS(suc)	DFP_LS(time)	DFP_LS(nit)	PSB_LS(suc)	PSB_LS(time)	PSB_LS(nit)	SR1_LS(suc)	SR1_LS(time)	SR1_LS(nit)	BFGS_TR(suc)	BFGS_TR(time)	BFGS_TR(nit)	DFP_TR(suc)	DFP_TR(time)	DFP_TR(nit)	PSB_TR(suc)	PSB_TR(time)	PSB_TR(nit)	SR1_TR(suc)	SR1_TR(time)	SR1_TR(nit)
51	EggCrate	0.1	0.04101493767877855	204.16	0.13	0.016322314491339966	10.07	0.15	0.012968061309009044	8.71	0.1	0.009713647806711379	8.37	0.14	0.028542144814769018	80.73	0.08	0.05006488916370472	108.63	0.13	0.026763068170400858	63.06	0.15	0.01950199042184749	45.99
52	Judge	0.58	0.021153820331337555	52.68	0.6	0.0111792688230571	24.33	0.23	0.008909277046454918	13.96	0.39	0.006238990031408776	12.05	0.46	0.037039875575651415	49.37	0.45	0.030914854247396307	50.7	0.37	0.030878022142017018	50.3	0.46	0.07445459789800908	174.7
53	CosineMixture	0.0	0.09791534046712967	384.41	0.0	0.015677682087575702	3.54	0.0	0.015630372952336984	3.41	0.0	0.016194922360937197	3.36	0.04	0.1032261084162792	319.46	0.01	0.10688376355438324	321.46	0.0	0.11434839502592012	342.32	0.0	0.0807159446282526	237.79
54	DeVilliersGlasser01	0.0	0.06829049938656681	50.54	0.0	0.16510893331434773	288.13	0.0	0.10813675218062373	92.11	0.0	0.03487301625993723	6.45	0.0	0.2176762631983888	459.79	0.0	0.2833066104926797	554.12	0.0	0.2651432209981885	473.84	0.0	0.4380764942917267	748.09
55	Trigonometric01	0.0	0.017287894668659192	5.72	0.0	0.014406480534762522	5.75	0.0	0.011352853964312999	5.34	0.0	0.00944440524465335	5.23	0.0	0.02678226893124929	52.36	0.0	0.027299286834997927	52.73	0.0	0.025514005223126333	48.16	0.0	0.027798870105784773	55.89
56	DeVilliersGlasser02	0.0	0.06561369950765311	8.4	0.0	0.05889195787462768	34.79	0.0	0.08885272674323688	29.67	0.0	0.04017096374560879	2.79	0.0	0.1728443511062187	89.14	0.0	0.1882503745003737	131.85	0.0	0.17753194531930602	122.51	0.0	0.21106243069658148	147.99
57	Penalty02	0.0	0.06692788681727961	150.82	0.0	0.09910638205067243	226.5	0.0	0.014537212485695363	21.51	0.0	0.018748341315115345	22.46	0.0	0.05305967331338707	102.67	0.0	0.05117636518906693	89.58	0.0	0.05120337026806965	107.8	0.0	0.17668426380049368	384.21
58	Vincent	0.18	0.031441912994475844	128.25	0.15	0.00811015763011028	11.21	0.21	0.0059233491942814	7.23	0.11	0.006863827263289295	6.82	0.21	0.02243797491412806	52.56	0.18	0.021352011525600567	51.14	0.22	0.02144862684626787	51.14	0.21	0.024733757289557158	64.56
59	Pathological	0.0	0.03896679380219666	40.97	0.0	0.0985215585201854	189.86	0.0	0.013639446487800341	4.67	0.0	0.012523895111664842	5.96	0.0	0.04195155849027287	39.07	0.0	0.04088225999370933	35.67	0.0	0.038769543402484036	25.54	0.0	0.06298480745143932	82.08
60	Schwefel02	0.0	0.03746348968910978	197.98	0.0	0.007341348902627942	5.32	0.0	0.006821059599747059	5.03	0.0	0.0074993125785408656	5.2	0.0	0.034061940200544996	199.78	0.0	0.032668918586634836	189.94	0.0	0.037902853558071	223.57	0.0	0.015431929454100556	37.58
61	Salomon	0.0	0.02462554881462665	72.33	0.01	0.00892930314067371	5.66	0.0	0.008069215963232637	5.6	0.0	0.00831592222023346	5.36	0.0	0.029445273341436862	80.41	0.0	0.0268643104895682	61.1	0.0	0.02552582074699785	46.14	0.0	0.02855504225236928	67.74
62	Schwefel22	0.28	0.01174959556526801	3.95	0.3	0.011532344729364468	4.24	0.3	0.010881434660316243	3.99	0.73	0.0048509332467870075	4.11	0.01	0.02207640619914173	44.06	0.06	0.023082829687532468	46.43	0.04	0.024692926807485947	57.05	0.01	0.024207378480352874	53.06
63	CrownedCross	0.0	0.005483934009234872	0.32	0.0	0.005983068264481517	0.57	0.0	0.005771821408131928	0.38	0.0	0.00625640755903305	0.41	0.0	0.023903621588501664	57.89	0.0	0.02516139971408393	57.93	0.0	0.03159743488099366	58.99	0.0	0.027239345395171314	60.2
64	Schwefel20	0.34	0.010159528815895557	4.39	0.22	0.008992639993423382	2.71	0.0	0.0015439763706535815	1.01	0.14	0.0059576668124759645	2.66	0.0	0.01241002904062043	1.01	0.0	0.012648960913834344	1.01	1.0	0.021775848008662703	43.45	0.0	0.012506571663550405	2.3
65	Rana	0.0	0.11933939119474872	376.6	0.0	0.02536287513647267	25.01	0.0	0.013354103510498587	7.29	0.0	0.016609504847017433	8.15	0.0	0.08144600545060939	288.27	0.0	0.05739922487082823	248.06	0.0	0.06090229891696253	280.95	0.0	0.03974323151798217	86.13
66	Kowalik	0.26	0.08669961585649162	149.58	0.0	0.2691204041652964	700.13	0.0	0.006624651638780961	9.42	0.0	0.005485918230442621	7.8	0.23	9.95015834427005	387.31	0.03	0.4257188504004125	774.3	0.29	0.2941667874732229	505.9	0.0	0.3155290451063956	610.18
67	Ripple01	0.0	0.01817669746060801	12.79	0.0	0.01691285548671658	9.19	0.0	0.017944162990097542	10.46	0.0	0.015472379342022578	8.11	0.0	0.026579596134033642	32.48	0.0	0.025392668388331003	25.29	0.0	0.02502347496140373	24.92	0.0	0.029550171930191032	38.09
68	Shubert01	0.0	0.058290610571370964	154.16	0.0	0.021874712683488725	11.64	0.0	0.021957288784151388	10.55	0.0	0.018815792005743792	9.12	0.0	0.02819117286712298	42.46	0.0	0.027708934426254928	36.5	0.0	0.03217371428670504	56.04	0.0	0.02874160180529088	35.06
69	UrsemWaves	0.0	0.044604932585666585	197.48	0.0	0.010644812009995805	10.27	0.0	0.01025460893093623	8.24	0.0	0.008653256923685149	6.82	0.0	0.03157379100418438	93.54	0.0	0.031708675280060564	86.73	0.0	0.02600966709132081	67.41	0.0	0.042975831416429175	131.81
70	Penalty01	0.1	0.06896053751866475	144.39	0.11	0.1092861422250462	272.48	0.0	0.03701295602339087	25.78	0.01	0.01915154446386623	26.6	0.1	0.04894342361110375	82.91	0.02	0.06802489598872853	98.99	0.1	0.06363138131302548	99.25	0.0	0.19279429228518893	386.26
71	SixHumpCamel	0.0	0.02581514499566765	124.77	0.0	0.01181141431776723	37.08	0.0	0.007234915108278983	14.98	0.0	0.006797394341278959	13.94	0.0	0.026143785902545458	96.85	0.0	0.025273225971573082	83.23	0.0	0.01975908390558743	48.86	0.0	0.03866393066516139	134.74
72	Leon	1.0	0.003887431370139893	22.39	0.85	0.019153165196262308	132.2	0.0	0.003071736864940249	11.58	0.02	0.001751058073114109	5.45	1.0	0.017850913148013202	35.67	0.81	0.039146588187290936	132.79	1.0	0.020282041643845332	42.06	0.07	0.07945999249931447	361.67
73	FreudensteinRoth	0.4	0.014479524676403344	78.51	0.46	0.004893512751409617	14.24	0.47	0.002465544469841916	10.69	0.37	0.0042671274849544714	12.31	0.41	0.018191408065767974	43.31	0.44	0.0220596343986881	64.09	0.47	0.02046642881671687	58.44	0.09	0.07956037099804689	356.85
74	YaoLiu09	0.03	0.04124681786943711	157.6	0.02	0.010284303826992984	11.28	0.02	0.00881043375329682	9.3	0.03	0.009512236529421896	8.75	0.03	0.020299138446030155	33.1	0.0	0.02445266071653805	49.95	0.02	0.024757563667176328	58.22	0.01	0.02183188942756715	41.25
75	Bukin04	0.94	0.002398829309490793	3.0	0.91	0.0025576910165636944	3.26	0.84	0.0020221180791304503	2.92	0.55	0.0014811997182414415	2.39	1.0	0.01891481490512433	36.87	0.98	0.016625331576624373	22.5	1.0	0.0158732133991316	20.98	0.14	0.015820657196277354	28.86
76	Parsopoulos	0.08	0.007144064292201619	8.55	0.08	0.007955687722924267	15.07	0.09	0.004612198085151249	5.92	0.07	0.0039008163103017054	4.73	0.08	0.021513032783705057	47.33	0.07	0.024046429920012997	62.22	0.07	0.02103876971445516	51.31	0.05	0.023193693768821504	62.28
77	Shubert04	0.0	0.06198983599809708	188.97	0.0	0.019082994754194255	10.62	0.0	0.015913646181725197	10.12	0.0	0.014943481769323625	8.62	0.02	0.03244131473467405	82.66	0.0	0.03323874072088074	87.52	0.0	0.03139810618067713	79.19	0.0	0.025801345250633857	31.52
78	PowerSum	0.0	0.11672599231368624	305.16	0.0	0.2024582746940541	765.41	0.0	0.01902533260294604	49.75	0.0	0.005599809959535378	11.53	0.0	0.2465044095466737	504.78	0.0	0.32979484692630195	789.17	0.0	0.25635791073485964	586.51	0.0	0.295365547848196	800.0
79	Watson	1.0	0.06222618923909067	50.32	0.52	1.054955130516032	964.87	0.0	0.044054773056832336	28.2	0.01	0.022261768377256887	14.61	0.0	0.35480453069534634	66.95	0.0	0.4990910342709958	165.46	0.0	0.4034009294194175	109.24	0.0	1.6074342138742397	1113.42
80	Zirilli	0.49	0.02551086211414713	142.83	0.51	0.005526167130446993	12.39	0.39	0.005511482183287625	11.79	0.48	0.004597927942868409	10.35	0.03	0.020117167404550856	58.71	0.03	0.02161395010111392	72.48	0.04	0.023287473876903282	87.35	0.01	0.017645413690884196	38.94
81	Trid	1.0	0.004791162860537952	11.55	1.0	0.005167014546796054	13.65	0.07	0.006446430946307372	12.63	0.46	0.002758537817167053	5.47	1.0	0.09244204171228376	10.02	1.0	0.0927919745096142	10.25	1.0	0.0926019169115807	10.27	0.93	0.10447979836208106	37.85
82	DeflectedCorrugatedSpring	0.07	0.01067212498540812	17.27	0.05	0.009238242955034368	5.66	0.02	0.008057533005840016	5.51	0.08	0.006630548709831601	5.37	0.0	0.02529538595883423	28.88	0.01	0.02249795911734054	21.27	0.02	0.022450273664308042	21.41	0.01	0.02364710968679446	28.83
83	Wolfe	0.0	0.01240302867411174	47.57	0.0	0.09619188616047722	600.0	0.0	0.001889247958793021	5.33	0.0	0.00225019660468206	5.69	0.0	0.2365784800096253	600.0	0.0	0.2219918031138968	600.0	0.0	0.19572262640750526	600.0	0.0	0.20643488055543452	600.0
84	Beale	0.63	0.013659724886065306	65.6	0.34	0.04048269173285462	259.9	0.01	0.0032157938873251623	8.39	0.14	0.0021705326907022027	6.84	0.55	0.03757198467873877	125.76	0.55	0.05878775632911129	185.82	0.55	0.0592066066012103	200.48	0.22	0.07447119436857974	322.48
85	TestTubeHolder	0.01	0.04428298842522509	188.07	0.0	0.0106572860900269	8.45	0.05	0.01097416278912533	8.08	0.03	0.006345171521770682	6.94	0.01	0.026872037833632026	83.86	0.0	0.02962705194768205	106.09	0.0	0.03188009231766045	113.88	0.0	0.025729536970820845	68.57
86	Brent	1.0	0.0009417096545348613	3.09	1.0	0.0005636727591900126	2.99	1.0	0.0005801409395826341	2.93	1.0	0.0005384466370742302	2.93	1.0	0.01252679446930415	4.65	1.0	0.01251718981261547	4.59	1.0	0.012390404922225573	4.76	1.0	0.012516000990399337	4.58
87	Rastrigin	0.02	0.037885773861289634	149.59	0.02	0.008411524048588035	9.19	0.02	0.010165242004450192	9.64	0.01	0.008119189257458857	8.48	0.01	0.019339014877023147	31.05	0.02	0.022543254097035968	56.01	0.01	0.02390438705314409	65.86	0.01	0.02153428191072635	32.86
88	WayburnSeader02	0.53	0.01348913745820937	66.17	0.0	0.06031215134471495	400.0	0.0	0.006202653981290496	29.52	0.03	0.006852276872432412	35.75	0.33	0.029195774635236375	83.1	0.15	0.08142499152216259	296.98	0.12	0.029925732825486193	90.9	0.0	0.08730704838972088	400.0
89	VenterSobiezcczanskiSobieski	0.01	0.057788003929108524	247.97	0.0	0.015947377941520246	11.98	0.0	0.014959505210545104	11.28	0.0	0.010914255560028324	8.3	0.0	0.03937812627087624	166.57	0.0	0.035103942827054195	140.34	0.0	0.03810243456241552	151.39	0.0	0.04087237309860939	162.1
90	Paviani	0.0	0.08241489123767679	2.98	0.0	0.08930898642647662	2.91	0.0	0.04519135974318488	3.04	0.0	0.03738464683217898	2.81	0.01	0.5735582687499027	1600.27	0.02	0.6477206686996669	1580.44	0.05	0.5033895458058396	1461.22	0.1	0.5875772488517031	1343.15
91	Gulf	0.0	0.8616554776264093	509.59	0.0	0.32970227274572605	50.12	0.0	0.2205750349911068	2.81	0.0	0.22660436896421746	2.87	0.0	0.5264460802865506	533.98	0.0	0.5690410994637659	552.38	0.0	0.5413749070430822	512.45	0.0	0.5590165361742311	568.93
